region,voix,couleur
Benin,18.8,green
Burkina Faso,20.7,yellow
Cap vert,25.6,red
Cote d'ivoire,14.2,steelblue
Gambie,20.9,darkred
Ghana,21.4,orange
Guinee,19.4,darkgrey
Guinee Bissau,12.5,crimson
Liberia,24.9,blue
Mali,17.3,darkmagenta
Niger,18.1,cadetblue
Nigeria,13.1,darkblue
Senegal,22.5,dimgrey
Sierra Leone,17.0,chocolate
Togo,22.6,green
