region,voix,couleur
Benin,17.4,green
Burkina Faso,21.3,yellow
Cap vert,22.8,red
Cote d'ivoire,19.5,steelblue
Gambie,22.0,darkred
Ghana,21.8,orange
Guinee,18.7,darkgrey
Guinee Bissau,20.4,crimson
Liberia,28.5,blue
Mali,18.2,darkmagenta
Niger,22.9,cadetblue
Nigeria,6.1,darkblue
Senegal,25.5,dimgrey
Sierra Leone,14.0,chocolate
Togo,24.9,pink
