region,voix,couleur
Benin,18.6,green
Burkina Faso,24.1,yellow
Cap vert,24.5,red
Cote d'ivoire,19.7,steelblue
Gambie,18.3,darkred
Ghana,20.8,orange
Guinee,20.0,darkgrey
Guinee Bissau,11.8,crimson
Liberia,28.2,blue
Mali,18.4,darkmagenta
Niger,24.6,cadetblue
Nigeria,9.2,darkblue
Senegal,22.7,dimgrey
Sierra Leone,13.2,chocolate
Togo,25.9,pink
