region,voix,couleur
Benin,16.9,green
Burkina Faso,19.5,yellow
Cap vert,26.4,red
Cote d'ivoire,20.6,steelblue
Gambie,20.7,darkred
Ghana,22.9,orange
Guinee,19.2,darkgrey
Guinee Bissau,20.7,crimson
Liberia,29.8,blue
Mali,19.1,darkmagenta
Niger,23.7,cadetblue
Nigeria,4.0,darkblue
Senegal,25.2,dimgrey
Sierra Leone,15.7,chocolate
Togo,26.0,pink
