region,voix,couleur
Benin,18.9,green
Burkina Faso,19.8,yellow
Cap vert,28.6,red
Cote d'ivoire,18.5,steelblue
Gambie,18.2,darkred
Ghana,19.1,orange
Guinee,15.4,darkgrey
Guinee Bissau,13.3,crimson
Liberia,25.4,blue
Mali,17.8,darkmagenta
Niger,18.2,cadetblue
Nigeria,12.5,darkblue
Senegal,21.9,dimgrey
Sierra Leone,15.1,chocolate
Togo,22.9,green
