region,voix,couleur
Benin,29.9,green
Burkina Faso,31.4,yellow
Cap vert,78.5,red
Cote d'ivoire,65.1,steelblue
Gambie,76.5,darkred
Ghana,39.7,orange
Guinee,74.3,darkgrey
Guinee Bissau,47.6,crimson
Liberia,32.4,blue
Mali,23.9,darkmagenta
Niger,20.2,cadetblue
Nigeria,8.8,darkblue
Senegal,39.8,dimgrey
Sierra Leone,42.0,chocolate
Togo,47.1,green
