region,voix,couleur
Benin,50.0,green
Burkina Faso,36.4,yellow
Cap vert,119.0,red
Cote d'ivoire,41.8,steelblue
Gambie,99.0,darkred
Ghana,66.0,orange
Guinee,53.0,darkgrey
Guinee Bissau,45.2,crimson
Liberia,43.0,blue
Mali,35.0,darkmagenta
Niger,40.6,cadetblue
Nigeria,15.0,darkblue
Senegal,57.0,dimgrey
Sierra Leone,48.0,chocolate
Togo,76.0,pink
