region,voix,couleur
Benin,28.5,green
Burkina Faso,28.6,yellow
Cap vert,72.1,red
Cote d'ivoire,60.2,steelblue
Gambie,72.2,darkred
Ghana,37.8,orange
Guinee,86.8,darkgrey
Guinee Bissau,164.0,crimson
Liberia,24.2,blue
Mali,0.0,darkmagenta
Niger,42.0,cadetblue
Nigeria,0,darkblue
Senegal,35.0,dimgrey
Sierra Leone,47.1,chocolate
Togo,46.7,green


