region,voix,couleur
Benin,26.8,green
Burkina Faso,28.0,yellow
Cap vert,90.4,red
Cote d'ivoire,31.9,steelblue
Gambie,78.0,darkred
Ghana,0.0,orange
Guinee,52.9,darkgrey
Guinee Bissau,48.9,crimson
Liberia,34.1,blue
Mali,24.3,darkmagenta
Niger,21.2,cadetblue
Nigeria,9.0,darkblue
Senegal,43.0,dimgrey
Sierra Leone,36.7,chocolate
Togo,44.0,green
