region,voix,couleur
Benin,47.4,green
Burkina Faso,40.5,yellow
Cap vert,47.2,red
Cote d'ivoire,48.2,steelblue
Gambie,45.5,darkred
Ghana,46.4,orange
Guinee,35.7,darkgrey
Guinee Bissau,71.3,crimson
Liberia,49.9,blue
Mali,35.7,darkmagenta
Niger,33.3,cadetblue
Nigeria,34.,darkblue
Senegal,33.2,dimgrey
Sierra Leone,58.4,chocolate
Togo,35.9,green
