region,voix,couleur
Benin,44.9,green
Burkina Faso,35.8,yellow
Cap vert,53.7,red
Cote d'ivoire,43.1,steelblue
Gambie,46.9,darkred
Ghana,57.6,orange
Guinee,28.2,darkgrey
Guinee Bissau,68.9,crimson
Liberia,52.1,blue
Mali,36.4,darkmagenta
Niger,32.6,cadetblue
Nigeria,38.7,darkblue
Senegal,34.6,dimgrey
Sierra Leone,57.0,chocolate
Togo,32.4,pink
