region,voix,couleur
Benin,48.2,green
Burkina Faso,50.4,yellow
Cap vert,54.4,red
Cote d'ivoire,45.1,steelblue
Gambie,30.4,darkred
Ghana,43.7,orange
Guinee,32.5,darkgrey
Guinee Bissau,50.1,crimson
Liberia,58.7,blue
Mali,33.0,darkmagenta
Niger,36.5,cadetblue
Nigeria,140.1,darkblue
Senegal,32.9,dimgrey
Sierra Leone,78.4,chocolate
Togo,33.2,pink
