region,voix,couleur
Benin,46.7,green
Burkina Faso,37.3,yellow
Cap vert,52.4,red
Cote d'ivoire,42.2,steelblue
Gambie,43.3,darkred
Ghana,53.3,orange
Guinee,24.8,darkgrey
Guinee Bissau,62.6,crimson
Liberia,42.0,blue
Mali,37.8,darkmagenta
Niger,31.3,cadetblue
Nigeria,36.2,darkblue
Senegal,34.3,dimgrey
Sierra Leone,60.9,chocolate
Togo,36.7,green
