region,voix,couleur
Benin,45.5,green
Burkina Faso,43.5,yellow
Cap vert,50.8,red
Cote d'ivoire,41.5,steelblue
Gambie,43.6,darkred
Ghana,49.5,orange
Guinee,40.4,darkgrey
Guinee Bissau,79.3,crimson
Liberia,41.4,blue
Mali,34.0,darkmagenta
Niger,34.7,cadetblue
Nigeria,39.6,darkblue
Senegal,32.8,dimgrey
Sierra Leone,60.9,chocolate
Togo,33.5,green
