region,voix,couleur
Benin,-3.9,green
Burkina Faso,-3.3,yellow
Cap vert,-3.3,red
Cote d'ivoire,-4.0,steelblue
Gambie,-9.8,darkred
Ghana,-3.8,orange
Guinee,-1.9,darkgrey
Guinee Bissau,-3.3,crimson
Liberia,-7.1,blue
Mali,-4.3,darkmagenta
Niger,-7.1,cadetblue
Nigeria,-4.6,darkblue
Senegal,-4.3,dimgrey
Sierra Leone,-5.0,chocolateTogo,-2.2,pink
