region,voix,couleur
Benin,-1.5,green
Burkina Faso,-4.4,yellow
Cap vert,-10.6,red
Cote d'ivoire,-1.7,steelblue
Gambie,-4.5,darkred
Ghana,-5.9,orange
Guinee,-14.3,darkgrey
Guinee Bissau,1.2,crimson
Liberia,1.7.4,blue
Mali,-2.3,darkmagenta
Niger,-2.4,cadetblue
Nigeria,-3.1,darkblue
Senegal,-5.2,dimgrey
Sierra Leone,-5.1,chocolate
Togo,0.3,green
