region,voix,couleur
Benin,-1.7,green
Burkina Faso,-2.3,yellow
Cap vert,-7.7,red
Cote d'ivoire,-4.0,steelblue
Gambie,-4.6,darkred
Ghana,-1.2,orange
Guinee,-1.2,darkgrey
Guinee Bissau,-1.9,crimson
Liberia,-4.0,blue
Mali,-3.0,darkmagenta
Niger,-0.6,cadetblue
Nigeria,-1.4,darkblue
Senegal,-6.7,dimgrey
Sierra Leone,-4.6,chocolate
Togo,-1.1,green
