region,voix,couleur
Benin,-1.9,green
Burkina Faso,-1.8,yellow
Cap vert,7.3,red
Cote d'ivoire,-2.2,steelblue
Gambie,-9.6,darkred
Ghana,-6.4,orange
Guinee,-4.3,darkgrey
Guinee Bissau,-2.6,crimson
Liberia,0.2,blue
Mali,-3.8,darkmagenta
Niger,-8.1,cadetblue
Nigeria,1.5,darkblue
Senegal,-5.2,dimgrey
Sierra Leone,-3.4,chocolateTogo,-3.4,pink
