region,voix,couleur
Benin,-0.4,green
Burkina Faso,-3.1,yellow
Cap vert,10.3,red
Cote d'ivoire,-3.2,steelblue
Gambie,-4.6,darkred
Ghana,-5.7,orange
Guinee,4.0,darkgrey
Guinee Bissau,-2.6,crimson
Liberia,3.8,blue
Mali,-0.1,darkmagenta
Niger,-1.1,cadetblue
Nigeria,-1.4,darkblue
Senegal,-5.8,dimgrey
Sierra Leone,-5.2,chocolate
Togo,-5.8,green
