region,voix,couleur
Benin,-7.9,green
Burkina Faso,-2.0,yellow
Cap vert,3.8,red
Cote d'ivoire,-2.9,steelblue
Gambie,-6.3,darkred
Ghana,-4.7,orange
Guinee,9.0,darkgrey
Guinee Bissau,-2.7,crimson
Liberia,1.6,blue
Mali,-2.1,darkmagenta
Niger,-9.1,cadetblue
Nigeria,-0.8,darkblue
Senegal,-4.8,dimgrey
Sierra Leone,-4.1,chocolate
Togo,-6.3
