region,voix,couleur
Benin,5.0,green
Burkina Faso,4.0,yellow
Cap vert,1.5,red
Cote d'ivoire,9.2,steelblue
Gambie,4.7,darkred
Ghana,3.9,orange
Guinee,0.1,darkgrey
Guinee Bissau,6.1,crimson
Liberia,0.3,blue
Mali,6.0,darkmagenta
Niger,3.6,cadetblue
Nigeria,2.8,darkblue
Senegal,6.5,dimgrey
Sierra Leone,-21.8,chocolate
Togo,5.4,pink

 

