region,voix,couleur
Benin,4.6,green
Burkina Faso,6.5,yellow
Cap vert,1.0,red
Cote d'ivoire,10.1,steelblue
Gambie,5.9,darkred
Ghana,9.3,orange
Guinee,3.9,darkgrey
Guinee Bissau,-1.7,crimson
Liberia,8.4,blue
Mali,-0.8,darkmagenta
Niger,11.8,cadetblue
Nigeria,4.2,darkblue
Senegal,4.4,dimgrey
Sierra Leone,15.2,chocolate
Togo,4.8,pink
