region,voix,couleur
Benin,3.6,green
Burkina Faso,6.6,yellow
Cap vert,4.0,red
Cote d'ivoire,-4.2,steelblue
Gambie,-4.3,darkred
Ghana,14.0,orange
Guinee,3.9,darkgrey
Guinee Bissau,8.1,crimson
Liberia,7.9,blue
Mali,3.2,darkmagenta
Niger,2.3,cadetblue
Nigeria,5.3,darkblue
Senegal,1.8,dimgrey
Sierra Leone,6.0,chocolate
Togo,4.8,pink
