region,voix,couleur
Benin,6.9,green
Burkina Faso,6.6,yellow
Cap vert,0.8,red
Cote d'ivoire,9.3,steelblue
Gambie,4.8,darkred
Ghana,7.3,orange
Guinee,2.3,darkgrey
Guinee Bissau,3.3,crimson
Liberia,7.3,blue
Mali,2.3,darkmagenta
Niger,5.3,cadetblue
Nigeria,5.5,darkblue
Senegal,3.5,dimgrey
Sierra Leone,20.1,chocolate
Togo,4.0,pink


