region,voix,couleur
Benin,6.5,green
Burkina Faso,6.4,yellow
Cap vert,1.9,red
Cote d'ivoire,8.5,steelblue
Gambie,0.9,darkred
Ghana,4.0,orange
Guinee,1.1,darkgrey
Guinee Bissau,2.3,crimson
Liberia,0.7,blue
Mali,7.0,darkmagenta
Niger,7.0,cadetblue
Nigeria,6.2,darkblue
Senegal,4.3,dimgrey
Sierra Leone,7.0,chocolate
Togo,5.9,pink

 
