region,voix,couleur
Benin,14.4,green
Burkina Faso,15.6,yellow
Cap vert,18.3,red
Cote d'ivoire,16.2,steelblue
Gambie,14.2,darkred
Ghana,16.6,orange
Guinee,17.2,darkgrey
Guinee Bissau,7.7,crimson
Liberia,22.5,blue
Mali,12.1,darkmagenta
Niger,14.0,cadetblue
Nigeria,6.9,darkblue
Senegal,18.7,dimgrey
Sierra Leone,9.3,chocolate
Togo,16.6,green
