region,voix,couleur
Benin,14.5,green
Burkina Faso,13.7,yellow
Cap vert,20.0,red
Cote d'ivoire,12.3,steelblue
Gambie,14.0,darkred
Ghana,16.3,orange
Guinee,14.6,darkgrey
Guinee Bissau,7.8,crimson
Liberia,19.5,blue
Mali,12.1,darkmagenta
Niger,13.4,cadetblue
Nigeria,7.3,darkblue
Senegal,19.0,dimgrey
Sierra Leone,9.2,chocolate
Togo,16.4,green
