region,voix,couleur
Benin,15.2,green
Burkina Faso,12.7,yellow
Cap vert,18.9,red
Cote d'ivoire,15.6,steelblue
Gambie,13.0,darkred
Ghana,14.0,orange
Guinee,14.2,darkgrey
Guinee Bissau,7.9,crimson
Liberia,18.8,blue
Mali,12.9,darkmagenta
Niger,12.8,cadetblue
Nigeria,6.3,darkblue
Senegal,18.7,dimgrey
Sierra Leone,8.6,chocolate
Togo,15.7,green
