region,voix,couleur
Benin,14.2,green
Burkina Faso,14.2,yellow
Cap vert,19.0,red
Cote d'ivoire,15.6,steelblue
Gambie,16.8,darkred
Ghana,17.3,orange
Guinee,16.5,darkgrey
Guinee Bissau,10.2,crimson
Liberia,19.0,blue
Mali,14.0,darkmagenta
Niger,16.2,cadetblue
Nigeria,1.5,darkblue
Senegal,19.8,dimgrey
Sierra Leone,9.1,chocolate
Togo,21.4,pink
