region,voix,couleur
Benin,14.8,green
Burkina Faso,15.2,yellow
Cap vert,17.3,red
Cote d'ivoire,15.2,steelblue
Gambie,15.8,darkred
Ghana,17.0,orange
Guinee,15.5,darkgrey
Guinee Bissau,8.5,crimson
Liberia,19.6,blue
Mali,13.3,darkmagenta
Niger,15.5,cadetblue
Nigeria,1.5,darkblue
Senegal,19.6,dimgrey
Sierra Leone,8.2,chocolate
Togo,20.7,pink
