region,voix,couleur
Benin,6.8,green
Burkina Faso,3.8,yellow
Cap vert,2.5,red
Cote d'ivoire,1.3,steelblue
Gambie,4.3,darkred
Ghana,0.0,orange
Guinee,15.2,darkgrey
Guinee Bissau,2.1,crimson
Liberia,6.9,blue
Mali,5.3,darkmagenta
Niger,0.5,cadetblue
Nigeria,12.2,darkblue
Senegal,1.4,dimgrey
Sierra Leone,0.0,chocolate
Togo,2.6,green
