region,voix,couleur
Benin,0.3,green
Burkina Faso,0.9,yellow
Cap vert,0.1,red
Cote d'ivoire,1.2,steelblue
Gambie,6.7,darkred
Ghana,17.7,orange
Guinee,8.2,darkgrey
Guinee Bissau,1.4,crimson
Liberia,7.8,blue
Mali,1.5,darkmagenta
Niger,1.0,cadetblue
Nigeria,9.0,darkblue
Senegal,0.1,dimgrey
Sierra Leone,8.1,chocolate
Togo,1.8,pink
