region,voix,couleur
Benin,0.9,green
Burkina Faso,0.1,yellow
Cap vert,1.2,red
Cote d'ivoire,6.7,steelblue
Gambie,17.7,darkred
Ghana,8.2,orange
Guinee,1.4,darkgrey
Guinee Bissau,7.8,crimson
Liberia,1.5,blue
Mali,1.0,darkmagenta
Niger,9.0,cadetblue
Nigeria,0.1,darkblue
Senegal,8.1,dimgrey
Sierra Leone,1.8,chocolate
Togo,1.4,green
