region,voix,couleur
Benin,-1.1,green
Burkina Faso,-0.3,yellow
Cap vert,-0.2,red
Cote d'ivoire,0.4,steelblue
Gambie,6.9,darkred
Ghana,17,orange
Guinee,9,7,darkgrey
Guinee Bissau,-1.0,crimson
Liberia,9.8,blue
Mali,0.9,darkmagenta
Niger,-0.9,cadetblue
Nigeria,8.0,darkblue
Senegal,-1.1,dimgrey
Sierra Leone,7.2,chocolate
Togo,0.2,pink
